target_id,abundance,abundance
PRQ55621,3.89742,3.89742
PRQ58732,6.0,6.0
PRQ58710,1.0,1.0
PRQ56621,35.0,35.0
PRQ55966,1.0,1.0
PRQ59486,3.0,3.0
PRQ60719,40.0,40.0
PRQ56771,43.0,43.0
PRQ58510,17.0,17.0
PRQ60526,2.0,2.0
PRQ57268,1.0,1.0
PRQ57845,31.0,31.0
PRQ56724,1.0,1.0
PRQ59608,1.0,1.0
PRQ55385,8.0,8.0
PRQ58699,6.0,6.0
PRQ60407,11.0,11.0
PRQ56180,176.0,176.0
PRQ59064,1.41613,1.41613
PRQ54995,33.0,33.0
PRQ60463,7.0,7.0
PRQ59465,429.0,429.0
PRQ60713,48.0,48.0
PRQ56398,3.0,3.0
PRQ54448,1.0,1.0
PRQ59137,2.0,2.0
PRQ58723,3.0,3.0
PRQ60546,9.0,9.0
PRQ54695,2.0,2.0
PRQ56499,40.0,40.0
PRQ58425,62.0,62.0
PRQ56153,18.0,18.0
PRQ56701,4.0,4.0
PRQ59686,1.0,1.0
PRQ60417,28.0,28.0
PRQ57450,4.0,4.0
PRQ56069,7.0,7.0
PRQ59720,1.0,1.0
PRQ57558,1.0,1.0
PRQ60563,13.0,13.0
PRQ56773,15.0,15.0
PRQ58169,8.0,8.0
PRQ59048,8.0,8.0
PRQ58706,5.0,5.0
PRQ59456,152.0,152.0
PRQ58500,8.0,8.0
PRQ55548,1.0,1.0
PRQ56329,5.0,5.0
PRQ58248,109.0,109.0
PRQ56353,14.0,14.0
PRQ60012,45.0,45.0
PRQ57056,1.0,1.0
PRQ56269,1.0,1.0
PRQ55120,17.0,17.0
PRQ57434,44.0,44.0
PRQ60125,20.0,20.0
PRQ59503,46.0,46.0
PRQ55206,3.25635,3.25635
PRQ58517,21.0,21.0
PRQ60184,2.0,2.0
PRQ59237,33.0,33.0
PRQ58625,28.0,28.0
PRQ54921,1.0,1.0
PRQ59685,52.0,52.0
PRQ58913,5.0,5.0
PRQ60186,17.0,17.0
PRQ57707,8.0,8.0
