target_id,abundance
BGIOSGA028245-TA,91.0
BGIOSGA025507-TA,2.0
BGIOSGA001151-TA,1.0
BGIOSGA011678-TA,23.0
BGIOSGA011603-TA,292.425
BGIOSGA026891-TA,51.0
BGIOSGA016256-TA,91.0
BGIOSGA032811-TA,38.0
BGIOSGA003012-TA,538.0
BGIOSGA017955-TA,121.314
BGIOSGA028753-TA,1.0
BGIOSGA002397-TA,572.0
BGIOSGA001814-TA,1.0
BGIOSGA005462-TA,79.0
BGIOSGA004193-TA,2.0
BGIOSGA024253-TA,15.0
BGIOSGA019891-TA,60.0
BGIOSGA028970-TA,614.8
BGIOSGA008325-TA,1.0
BGIOSGA017032-TA,6.0
BGIOSGA019796-TA,7.0
BGIOSGA029066-TA,3.0
BGIOSGA002724-TA,19.0
BGIOSGA033598-TA,2.0
BGIOSGA026898-TA,50.0
BGIOSGA027484-TA,13.0
BGIOSGA031875-TA,1.0
BGIOSGA005912-TA,32.0
BGIOSGA006504-TA,2592.0
BGIOSGA009896-TA,46.0
BGIOSGA002694-TA,23.0
BGIOSGA024834-TA,29.0
BGIOSGA021310-TA,36.0
BGIOSGA001522-TA,10.2691
BGIOSGA025967-TA,156.0
BGIOSGA013429-TA,576.0
BGIOSGA013815-TA,121.0
BGIOSGA009667-TA,217.265
BGIOSGA024666-TA,68.0
BGIOSGA012071-TA,11.0
BGIOSGA018784-TA,9.0
BGIOSGA018850-TA,2.0
BGIOSGA000259-TA,12.0
BGIOSGA024903-TA,9.0
BGIOSGA013920-TA,75.0
BGIOSGA013307-TA,19.0
BGIOSGA028863-TA,77.0
BGIOSGA033540-TA,64.0
BGIOSGA032931-TA,4.0
BGIOSGA030081-TA,3.0
BGIOSGA032857-TA,4.0
BGIOSGA036961-TA,3.0
BGIOSGA009959-TA,18.0
BGIOSGA033847-TA,153.0
BGIOSGA015308-TA,7.0
BGIOSGA015799-TA,1.0
BGIOSGA029518-TA,71.0
BGIOSGA002592-TA,8.0
BGIOSGA035306-TA,36.0
BGIOSGA007026-TA,21.0
BGIOSGA022348-TA,53.0
BGIOSGA024766-TA,74.0
BGIOSGA022977-TA,4.0
BGIOSGA014751-TA,1.0
BGIOSGA016846-TA,146.0
BGIOSGA006536-TA,34.8754
BGIOSGA031138-TA,8.0
BGIOSGA027982-TA,1.0
BGIOSGA018772-TA,71.0
BGIOSGA029757-TA,570.0
BGIOSGA013779-TA,59.0
BGIOSGA020777-TA,17.0
BGIOSGA016258-TA,3.0
BGIOSGA022893-TA,6.0
BGIOSGA017626-TA,17.0
BGIOSGA002775-TA,4.0
BGIOSGA026270-TA,5.0
